================================================================================
DETAILED LATENCY REPORT
================================================================================
Rank  Name                                              Latency   Region  Score   
--------------------------------------------------------------------------------
1     HKG-HK-14                                         73ms      HK      0.9121  
2     HKG-HK-21                                         75ms      HK      0.9307  
3     HKG-HK-5                                          75ms      HK      0.9198  
4     优选IP4 | DE | 03                                   75ms      DE      0.3681  
5     HKG-HK-8                                          76ms      HK      0.9772  
6     CA-104.19.35.19:443                               76ms      CA      0.3163  
7     优选IP4 | US | 02                                   77ms      US      0.6979  
8     HKG-HK-6                                          78ms      HK      0.9178  
9     CA-104.16.249.15:443                              78ms      CA      0.3457  
10    HKG-HK-27                                         79ms      HK      0.9730  
11    HKG-HK-18                                         79ms      HK      0.9108  
12    CA-104.19.35.94:443                               79ms      CA      0.3436  
13    HKG-HK-15                                         80ms      HK      0.9901  
14    HKG-HK-3                                          80ms      HK      0.9425  
15    天诚优选1 | 分享免费优选网 BestCF.pages.dev                  80ms      OTHER   0.3693  
16    CA-104.17.102.95:8443                             80ms      CA      0.3666  
17    优选IP4 | HK | 03                                   81ms      HK      0.9673  
18    HKG-HK-11                                         81ms      HK      0.9393  
19    优选IP4 | DE | 02                                   81ms      DE      0.3406  
20    HK-27.50.48.4:443                                 82ms      HK      0.9154  
21    HKG-HK-19                                         83ms      HK      0.9981  
22    SG-206.238.239.250:443                            83ms      SG      0.9177  
23    HKG-HK-16                                         83ms      HK      0.9127  
24    CA-104.17.55.175:443                              83ms      CA      0.3671  
25    优选IP4 | DE | 01                                   83ms      DE      0.3637  
26    HKG-HK-10                                         84ms      HK      1.0040  
27    优选IP4 | HK | 04                                   84ms      HK      0.9768  
28    HKG-HK-7                                          84ms      HK      0.9686  
29    优选IP4 | US | 01                                   84ms      US      0.6337  
30    优选IP4 | DE | 04                                   84ms      DE      0.3954  
31    优选IP4 | DE | 05                                   84ms      DE      0.3432  
32    HKG-HK-28                                         86ms      HK      0.9121  
33    优选IP4 | HK | 01                                   86ms      HK      0.9082  
34    CA-104.17.112.66:443                              86ms      CA      0.3487  
35    HKG-HK-9                                          87ms      HK      0.9793  
36    优选IP4 | HK | 05                                   87ms      HK      0.9716  
37    天诚优选1 全量版 | 09-21 06:37 | BestCF.pages.dev        87ms      OTHER   0.4019  
38    HKG-HK-24                                         88ms      HK      0.9846  
39    HKG-HK-17                                         88ms      HK      0.9432  
40    HKG-HK-30                                         88ms      HK      0.9210  
41    HKG-HK                                            89ms      HK      0.9787  
42    CA-104.18.42.163:443                              89ms      CA      0.3197  
43    HKG-HK-20                                         91ms      HK      0.9986  
44    HKG-HK-4                                          91ms      HK      0.9755  
45    SG-206.238.239.252:443                            91ms      SG      0.9381  
46    HKG-HK-22                                         91ms      HK      0.9243  
47    优选IP4 | US | 03                                   91ms      US      0.6765  
48    优选IP4 | US | 05                                   91ms      US      0.6081  
49    HKG-HK-23                                         93ms      HK      0.9732  
50    CA-104.17.104.166:443                             93ms      CA      0.3307  
51    HKG-HK-26                                         94ms      HK      0.9221  
52    HKG-HK-25                                         94ms      HK      0.9105  
53    HKG-HK-2                                          97ms      HK      0.9294  
54    HKG-HK-29                                         99ms      HK      0.9896  
55    HKG-HK-12                                         101ms     HK      0.9943  
56    优选IP4 | US | 04                                   104ms     US      0.7052  
57    CA-104.17.21.219:443                              105ms     CA      0.3240  
58    优选IP4 | HK | 02                                   110ms     HK      0.9943  
59    CA-104.17.212.103:443                             110ms     CA      0.3699  
60    HKG-HK-13                                         115ms     HK      0.9659  
61    S5公益优选 | 战争贩子 | US | 208.68.180.136:8443          131ms     US      0.6274  
62    S5公益优选 | 战争贩子 | US | 179.253.236.209:2053         133ms     US      0.6327  
63    天诚优选1 | 战争贩子 | US | 172.235.51.42:443             134ms     US      0.6352  
64    S5公益优选 | 枫叶之国 | CA | 40.233.77.216:443            134ms     CA      0.3426  
65    S5公益优选 | 战争贩子 | US | 186.241.76.159:443           136ms     US      0.6877  
66    S5公益优选 | 战争贩子 | US | 179.253.232.122:8443         136ms     US      0.6201  
67    S5公益优选 | 枫叶之国 | CA | 40.233.71.238:443            137ms     CA      0.3690  
68    S5公益优选 | 枫叶之国 | CA | 40.233.87.120:443            137ms     CA      0.3049  
69    S5公益优选 | 战争贩子 | US | 179.255.102.83:8443          139ms     US      0.6379  
70    S5公益优选 | 战争贩子 | US | 154.9.243.154:443            141ms     US      0.6387  
71    S5公益优选 | 战争贩子 | US | 38.148.253.120:443           144ms     US      0.6344  
72    S5公益优选 | 战争贩子 | US | 154.23.240.208:443           146ms     US      0.7009  
73    S5公益优选 | 战争贩子 | US | 207.57.142.125:8443          146ms     US      0.6513  
74    S5公益优选 | 战争贩子 | US | 144.225.255.169:443          147ms     US      0.6875  
75    S5公益优选 | 战争贩子 | US | 188.255.157.188:443          147ms     US      0.6515  
76    S5公益优选 | 战争贩子 | US | 188.255.156.202:443          152ms     US      0.6895  
77    S5公益优选 | 战争贩子 | US | 208.68.180.72:8443           152ms     US      0.6888  
78    S5公益优选 | 枫叶之国 | CA | 40.233.99.248:443            154ms     CA      0.3557  
79    S5公益优选 | 🇲🇽 墨西哥 01 | 216.238.72.72:443            158ms     OTHER   0.3236  
80    S5公益优选 | 枫叶之国 | CA | 140.238.144.211:443          159ms     CA      0.3942  
81    S5公益优选 | 🇲🇽 墨西哥 03 | 216.238.79.164:443           177ms     OTHER   0.3769  
82    S5公益优选 | 🇲🇽 墨西哥 02 | 216.238.78.167:443           179ms     OTHER   0.3056  
83    S5公益优选 | 战争贩子 | US | 154.23.240.201:443           182ms     US      0.6904  
84    S5公益优选 | 枫叶之国 | CA | 24.84.0.55:443               184ms     CA      0.3365  
85    S5公益优选 | 枫叶之国 | CA | 158.69.213.193:443           188ms     CA      0.3974  
86    S5公益优选 | 枫叶之国 | CA | 158.51.123.177:443           191ms     CA      0.3868  
87    S5公益优选 | 枫叶之国 | CA | 144.217.93.183:443           193ms     CA      0.3084  
88    S5公益优选 | 枫叶之国 | CA | 159.203.2.180:443            195ms     CA      0.3181  
89    S5公益优选 | 战争贩子 | US | 188.255.157.177:443          198ms     US      0.6875  
90    S5公益优选 | 枫叶之国 | CA | 45.133.17.106:443            198ms     CA      0.3715  
91    S5公益优选 | 战争贩子 | US | 188.255.156.143:443          200ms     US      0.6440  
92    S5公益优选 | 枫叶之国 | CA | 5.61.27.190:2087             201ms     CA      0.3575  
93    S5公益优选 | 枫叶之国 | CA | 158.69.220.106:8443          202ms     CA      0.3822  
94    S5公益优选 | 枫叶之国 | CA | 51.222.136.162:8443          202ms     CA      0.3182  
95    S5公益优选 | 枫叶之国 | CA | 45.133.17.118:443            203ms     CA      0.3994  
96    S5公益优选 | 枫叶之国 | CA | 172.93.32.237:443            213ms     CA      0.3063  
97    S5公益优选 | 枫叶之国 | CA | 65.49.232.101:443            222ms     CA      0.4009  
98    S5公益优选 | 枫叶之国 | CA | 24.109.36.190:8443           223ms     CA      0.3594  
99    S5公益优选 | 枫叶之国 | CA | 24.84.0.55:8443              229ms     CA      0.3164  
100   S5公益优选 | 枫叶之国 | CA | 138.197.161.103:443          265ms     CA      0.3043  
101   S5公益优选 | 大嘤帝国 | UK | 145.241.230.227:2053         359ms     UK      0.3201  
102   S5公益优选 | 风车郁金 | NL | 213.183.61.100:2053          366ms     NL      0.3757  
103   S5公益优选 | 大嘤帝国 | UK | 132.145.46.142:443           366ms     UK      0.3354  
104   S5公益优选 | 大嘤帝国 | UK | 188.119.149.172:443          367ms     UK      0.3658  
105   S5公益优选 | 🇮🇪 爱尔兰 03 | 63.32.194.15:2053            370ms     OTHER   0.3919  
106   S5公益优选 | 大嘤帝国 | UK | 149.102.157.131:443          371ms     UK      0.3564  
107   S5公益优选 | 风车郁金 | NL | 193.123.63.250:443           371ms     NL      0.3283  
108   S5公益优选 | 风车郁金 | NL | 185.6.13.50:443              372ms     NL      0.3706  
109   S5公益优选 | 大嘤帝国 | UK | 77.68.16.137:443             373ms     UK      0.3294  
